#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,adapta-gtk-theme,is gtk+ theme
,alacritty,is GPU-accelerated terminal emulator
,arandr,is a UI for screen adjustment.
,code,is Microsoftâ€™s IDE
,cronie,is task scheduler
,dnsmasq,is required for making wifi hotspots
,dosfstools,allows your computer to access dos-like filesystems.
,dunst,is a suckless notification system.
,efibootmgr,is user-space application to modify the EFI Boot Manager
,exfat-utils,allows management of FAT drives.
,ffmpeg,can record and splice video and audio on the command line.
,file-roller,is archive manager
,fzf,is command-line fuzzy finder
,gamemode,allows games to request optimisations from host OS
,geany,is fast and lightweight IDE
,gnome-keyring,serves as the system keyring.
,gvfs,is virtual filesystem implementation for GIO
,gvfs-mtp,is MTP backend for phone support
,highlight,can highlight code output.
,htop,is interactive process viewer
,inetutils,is collection of common network programs providing telnet
,libnotify,allows desktop notifications.
,libreoffice-still,is office suite
,lxsession,X11 session manager
,lynx,is a terminal browser.
,maim,can take quick screenshots at your request.
,man-db,lets you read man pages of programs.
,mediainfo,shows audio and video information.
,mpc,is a terminal interface for mpd.
,mpd,is a lightweight music daemon.
,mpv,is the patrician's choice video player.
,nano,is simple text editor
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,networkmanager-openvpn,is network manager module for openvpn
,npm,is  package manager for javascript
,ntfs-3g,allows accessing NTFS partitions.
,p7zip,is file archiver
,pamixer,is a command-line audio interface.
,pcmanfm-gtk3,is fast and lightweight file manager
,perl-file-mimeinfo,are used for generic support in xdg-open
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,pulseaudio-alsa,is the audio system.
,pulsemixer,is an audio controler.
,qt5-styleplugins,allows theming of QT5 apps
,sshfs,is ssh file transfer protocol client
,steam,is Valve's digital software delivery system
,sxiv,is a minimalist image viewer.
,thunderbird,is mail reader
,transmission-gtk,is a feature rich cross platform Transmission BitTorrent client
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.
,ttf-nerd-fonts-symbols,is collection of extra glyphs from popular 'iconic fonts'
,unclutter,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
,vlc,"is a multi-platform MPEG, VCD/DVD, and DivX player "
,xclip,allows for copying and pasting from the command line.
,xcompmgr,is for transparency and removing screen-tearing.
,xdotool,is X11 automation tool
,xdg-utils,are command line tools that assist with a variety of desktop tasks
,xorg-server,is the graphical server.
,xorg-xbacklight,enables changing screen brightness levels.
,xorg-xinit,starts the graphical server.
,xorg-xprop,is a tool for detecting window properties.
,xorg-xwininfo,allows querying information about windows.
,xwallpaper,sets the wallpaper.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zsh-autosuggestions,suggests commands as you type based on history and completions
,zsh-completions,provides additional completion definitions for Zsh
,zsh-history-substring-search,alows serching history with with up and down keys
,zsh-syntax-highlighting,provides syntax highlighting for the zsh
A,brave-bin,is chromium based web browser
A,insomnia-bin,is API Client and Design Platform for GraphQL and REST
A,ly,is TUI display manager
A,lf-git,is a terminal file manager
A,smartgit,is git client with Hg and SVN support.
A,x2x-git,"allows the keyboard, mouse on one X display to control another X display"
A,skypeforlinux-stable-bin,is Skype client
A,mattermost-desktop-bin,is Mattermost desktop client
A,slack-desktop,is Slack Desktop client
A,zoom,is spooky video conferencing service you should not use
A,timeshift,is a system restore utility
G,https://github.com/DusanLesan/dwmblocks.git,serves as the modular status bar.
G,https://github.com/DusanLesan/dmenu.git,runs commands and provides a UI for selection.
G,https://github.com/DusanLesan/st.git,is my custom build of suckless's terminal emulator.
G,https://github.com/DusanLesan/dwm.git,is the window manager.
G,https://github.com/DusanLesan/slock.git,"allows you to lock your computer, and quickly unlock with your password."
